Java HotSpot(TM) 64-Bit Server VM (25.181-b13) for bsd-amd64 JRE (1.8.0_181-b13), built on Jul  7 2018 01:02:31 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 33554432k(317172k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2020-10-28T22:59:59.518-0800: 0.549: [GC (Allocation Failure) [PSYoungGen: 131584K->7155K(153088K)] 131584K->7171K(502784K), 0.0048091 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:37.744-0800: 38.773: [GC (Allocation Failure) [PSYoungGen: 173856K->320K(174080K)] 197606K->24110K(523776K), 0.0015638 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:37.843-0800: 38.873: [GC (Allocation Failure) [PSYoungGen: 173888K->352K(174080K)] 197678K->24142K(523776K), 0.0015679 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:37.941-0800: 38.971: [GC (Allocation Failure) [PSYoungGen: 173920K->320K(174080K)] 197710K->24126K(523776K), 0.0015537 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:38.037-0800: 39.067: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197694K->24174K(523776K), 0.0015561 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:38.140-0800: 39.169: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197742K->24214K(523776K), 0.0015982 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:38.239-0800: 39.269: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197782K->24214K(523776K), 0.0016761 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:38.341-0800: 39.371: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197782K->24222K(523776K), 0.0016373 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:38.444-0800: 39.473: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197790K->24238K(523776K), 0.0015727 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:38.544-0800: 39.574: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197806K->24270K(523776K), 0.0014851 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:38.641-0800: 39.670: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197838K->24286K(523776K), 0.0016015 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:38.744-0800: 39.773: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197854K->24286K(523776K), 0.0016369 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:38.845-0800: 39.874: [GC (Allocation Failure) [PSYoungGen: 173888K->352K(174080K)] 197854K->24358K(523776K), 0.0016987 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:38.942-0800: 39.972: [GC (Allocation Failure) [PSYoungGen: 173920K->288K(174080K)] 197926K->24310K(523776K), 0.0017377 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:39.044-0800: 40.073: [GC (Allocation Failure) [PSYoungGen: 173856K->320K(174080K)] 197878K->24342K(523776K), 0.0016317 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:39.146-0800: 40.175: [GC (Allocation Failure) [PSYoungGen: 173888K->352K(174080K)] 197910K->24390K(523776K), 0.0016705 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:39.246-0800: 40.275: [GC (Allocation Failure) [PSYoungGen: 173920K->320K(174080K)] 197958K->24358K(523776K), 0.0016017 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:39.345-0800: 40.375: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197926K->24366K(523776K), 0.0015611 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:39.449-0800: 40.479: [GC (Allocation Failure) [PSYoungGen: 173888K->352K(174080K)] 197934K->24398K(523776K), 0.0017905 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:39.549-0800: 40.579: [GC (Allocation Failure) [PSYoungGen: 173920K->352K(174080K)] 197966K->24438K(523776K), 0.0015649 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:39.645-0800: 40.675: [GC (Allocation Failure) [PSYoungGen: 173920K->320K(174080K)] 198006K->24406K(523776K), 0.0016247 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:39.754-0800: 40.784: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197974K->24406K(523776K), 0.0016057 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:39.858-0800: 40.888: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197974K->24406K(523776K), 0.0015246 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:39.964-0800: 40.994: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197974K->24406K(523776K), 0.0015567 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:40.066-0800: 41.095: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197974K->24414K(523776K), 0.0015672 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:40.169-0800: 41.198: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197982K->24478K(523776K), 0.0015896 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:40.272-0800: 41.302: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198046K->24494K(523776K), 0.0016313 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:40.376-0800: 41.406: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198062K->24494K(523776K), 0.0016381 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:40.479-0800: 41.508: [GC (Allocation Failure) [PSYoungGen: 173888K->352K(174080K)] 198062K->24566K(523776K), 0.0016092 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:40.582-0800: 41.612: [GC (Allocation Failure) [PSYoungGen: 173920K->320K(174080K)] 198134K->24534K(523776K), 0.0015533 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:40.684-0800: 41.714: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198102K->24534K(523776K), 0.0015994 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:40.789-0800: 41.819: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198102K->24534K(523776K), 0.0016250 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:41.633-0800: 42.663: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198102K->24590K(523776K), 0.0014009 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:41.729-0800: 42.758: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198158K->24590K(523776K), 0.0016579 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:41.824-0800: 42.853: [GC (Allocation Failure) [PSYoungGen: 173888K->352K(174080K)] 198158K->24662K(523776K), 0.0015701 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:41.919-0800: 42.949: [GC (Allocation Failure) [PSYoungGen: 173920K->352K(174080K)] 198230K->24662K(523776K), 0.0015690 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:42.022-0800: 43.051: [GC (Allocation Failure) [PSYoungGen: 173920K->320K(174080K)] 198230K->24630K(523776K), 0.0015231 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:42.124-0800: 43.154: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198198K->24630K(523776K), 0.0016200 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:42.236-0800: 43.266: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198198K->24678K(523776K), 0.0015795 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:42.344-0800: 43.374: [GC (Allocation Failure) [PSYoungGen: 173888K->352K(174080K)] 198246K->24734K(523776K), 0.0016255 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:42.449-0800: 43.478: [GC (Allocation Failure) [PSYoungGen: 173920K->320K(174080K)] 198302K->24710K(523776K), 0.0015967 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:42.553-0800: 43.582: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198278K->24750K(523776K), 0.0016036 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:42.669-0800: 43.698: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198318K->24750K(523776K), 0.0016304 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:42.780-0800: 43.810: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198318K->24750K(523776K), 0.0017714 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:42.914-0800: 43.943: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198318K->24806K(523776K), 0.0017511 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:43.037-0800: 44.066: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198374K->24814K(523776K), 0.0017784 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:43.146-0800: 44.176: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198382K->24814K(523776K), 0.0018144 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:43.252-0800: 44.282: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198382K->24814K(523776K), 0.0016189 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:43.358-0800: 44.387: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198382K->24814K(523776K), 0.0015500 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
2020-10-28T23:00:43.463-0800: 44.493: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198382K->24822K(523776K), 0.0016021 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:43.560-0800: 44.589: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198390K->24838K(523776K), 0.0015815 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:43.666-0800: 44.695: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198406K->24862K(523776K), 0.0015939 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:43.773-0800: 44.803: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198430K->24870K(523776K), 0.0015559 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:43.881-0800: 44.910: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198438K->24878K(523776K), 0.0016052 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:43.996-0800: 45.026: [GC (Allocation Failure) [PSYoungGen: 173880K->320K(174080K)] 198438K->24894K(523776K), 0.0015640 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:44.122-0800: 45.151: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198462K->24910K(523776K), 0.0016779 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:44.224-0800: 45.253: [GC (Allocation Failure) [PSYoungGen: 173888K->352K(174080K)] 198478K->24950K(523776K), 0.0016211 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:44.323-0800: 45.353: [GC (Allocation Failure) [PSYoungGen: 173920K->320K(174080K)] 198518K->24926K(523776K), 0.0015472 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:44.427-0800: 45.456: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198494K->24926K(523776K), 0.0015583 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:44.532-0800: 45.562: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198494K->24934K(523776K), 0.0015507 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:44.635-0800: 45.664: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198502K->24974K(523776K), 0.0016076 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:44.748-0800: 45.777: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198542K->25046K(523776K), 0.0015782 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:44.853-0800: 45.883: [GC (Allocation Failure) [PSYoungGen: 173888K->352K(174080K)] 198614K->25102K(523776K), 0.0015976 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:44.959-0800: 45.989: [GC (Allocation Failure) [PSYoungGen: 173920K->320K(174080K)] 198670K->25118K(523776K), 0.0015993 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:45.064-0800: 46.093: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198686K->25118K(523776K), 0.0016157 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:45.165-0800: 46.195: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198686K->25118K(523776K), 0.0015923 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:45.265-0800: 46.294: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198686K->25118K(523776K), 0.0015820 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:45.366-0800: 46.396: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198686K->25118K(523776K), 0.0015977 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:45.468-0800: 46.497: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198686K->25174K(523776K), 0.0015456 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:45.570-0800: 46.600: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198742K->25174K(523776K), 0.0016232 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:45.673-0800: 46.703: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198742K->25206K(523776K), 0.0016646 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:45.777-0800: 46.806: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198774K->25262K(523776K), 0.0016385 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:45.879-0800: 46.909: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198830K->25262K(523776K), 0.0015943 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:45.980-0800: 47.010: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198830K->25310K(523776K), 0.0016857 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:46.087-0800: 47.117: [GC (Allocation Failure) [PSYoungGen: 173884K->352K(174080K)] 198874K->25366K(523776K), 0.0016169 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:46.192-0800: 47.221: [GC (Allocation Failure) [PSYoungGen: 173920K->320K(174080K)] 198934K->25382K(523776K), 0.0016468 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:46.292-0800: 47.321: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198950K->25390K(523776K), 0.0015882 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:46.392-0800: 47.421: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198958K->25406K(523776K), 0.0017056 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:46.492-0800: 47.522: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198974K->25422K(523776K), 0.0016920 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:46.595-0800: 47.624: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 198990K->25486K(523776K), 0.0016078 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:46.696-0800: 47.726: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199054K->25510K(523776K), 0.0015845 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:46.794-0800: 47.824: [GC (Allocation Failure) [PSYoungGen: 173888K->352K(174080K)] 199078K->25566K(523776K), 0.0016979 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:46.895-0800: 47.925: [GC (Allocation Failure) [PSYoungGen: 173920K->320K(174080K)] 199134K->25598K(523776K), 0.0016622 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:47.001-0800: 48.030: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199166K->25598K(523776K), 0.0017296 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:47.106-0800: 48.136: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199166K->25654K(523776K), 0.0016158 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:47.208-0800: 48.237: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199222K->25662K(523776K), 0.0016527 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:47.311-0800: 48.340: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199230K->25662K(523776K), 0.0015466 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:47.410-0800: 48.439: [GC (Allocation Failure) [PSYoungGen: 173888K->288K(174080K)] 199230K->25670K(523776K), 0.0015784 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:47.512-0800: 48.541: [GC (Allocation Failure) [PSYoungGen: 173856K->320K(174080K)] 199238K->25758K(523776K), 0.0016127 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:47.611-0800: 48.640: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199326K->25758K(523776K), 0.0016204 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:47.713-0800: 48.742: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199326K->25798K(523776K), 0.0016504 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:47.811-0800: 48.840: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199366K->25846K(523776K), 0.0015875 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:47.915-0800: 48.945: [GC (Allocation Failure) [PSYoungGen: 173888K->352K(174080K)] 199414K->25886K(523776K), 0.0016232 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:48.016-0800: 49.045: [GC (Allocation Failure) [PSYoungGen: 173920K->352K(174080K)] 199454K->25886K(523776K), 0.0015981 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:48.118-0800: 49.147: [GC (Allocation Failure) [PSYoungGen: 173920K->320K(174080K)] 199454K->25862K(523776K), 0.0016479 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:48.218-0800: 49.248: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199430K->25926K(523776K), 0.0016036 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:48.322-0800: 49.352: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199494K->25926K(523776K), 0.0015814 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:48.430-0800: 49.460: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199494K->25942K(523776K), 0.0016223 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:48.532-0800: 49.562: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199510K->25998K(523776K), 0.0016538 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:48.655-0800: 49.684: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199566K->26014K(523776K), 0.0017251 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:48.761-0800: 49.790: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199582K->26038K(523776K), 0.0016561 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:48.869-0800: 49.898: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199606K->26038K(523776K), 0.0017327 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:48.979-0800: 50.008: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199606K->26038K(523776K), 0.0016260 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:49.089-0800: 50.118: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199606K->26038K(523776K), 0.0016907 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:49.197-0800: 50.226: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199606K->26054K(523776K), 0.0016354 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:49.303-0800: 50.332: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199622K->26054K(523776K), 0.0017651 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:49.416-0800: 50.445: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199622K->26054K(523776K), 0.0016420 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:49.522-0800: 50.551: [GC (Allocation Failure) [PSYoungGen: 173888K->352K(174080K)] 199622K->26086K(523776K), 0.0016704 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:49.630-0800: 50.659: [GC (Allocation Failure) [PSYoungGen: 173920K->320K(174080K)] 199654K->26054K(523776K), 0.0016188 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:49.734-0800: 50.764: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199622K->26126K(523776K), 0.0016126 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:49.836-0800: 50.865: [GC (Allocation Failure) [PSYoungGen: 173888K->352K(174080K)] 199694K->26166K(523776K), 0.0016269 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:49.945-0800: 50.974: [GC (Allocation Failure) [PSYoungGen: 173920K->320K(174080K)] 199734K->26134K(523776K), 0.0016977 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:50.051-0800: 51.081: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199702K->26158K(523776K), 0.0017428 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2020-10-28T23:00:50.154-0800: 51.184: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199726K->26174K(523776K), 0.0015983 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:50.259-0800: 51.288: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199742K->26190K(523776K), 0.0016773 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:50.363-0800: 51.392: [GC (Allocation Failure) [PSYoungGen: 173888K->352K(174080K)] 199758K->26230K(523776K), 0.0017044 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:50.468-0800: 51.498: [GC (Allocation Failure) [PSYoungGen: 173920K->320K(174080K)] 199798K->26198K(523776K), 0.0016618 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:50.573-0800: 51.603: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199766K->26198K(523776K), 0.0016492 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:50.677-0800: 51.706: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199766K->26206K(523776K), 0.0016832 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:50.783-0800: 51.813: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199774K->26254K(523776K), 0.0016427 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:50.891-0800: 51.920: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199822K->26262K(523776K), 0.0016399 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:50.999-0800: 52.028: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199830K->26326K(523776K), 0.0017014 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:51.103-0800: 52.133: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199894K->26374K(523776K), 0.0016385 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2020-10-28T23:00:51.208-0800: 52.238: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199942K->26430K(523776K), 0.0017600 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:51.312-0800: 52.341: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199998K->26430K(523776K), 0.0016787 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:51.415-0800: 52.445: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 199998K->26438K(523776K), 0.0017161 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
